ref_name,rx_name,control_strain_name,strain_name,ordinal_number,section,fold_cmp,fold,resistance_level,ineffective,cumulative_count,assay,date_added,Excluded
Trinite21,CP_late,Wuhan,S:614G,6,"Figure 2, Figure 3A",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,6,"Figure 2, Figure 3A",=,1.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,7,"Figure 2, Figure 3A",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,7,"Figure 2, Figure 3A",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,8,"Figure 2, Figure 3A",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,8,"Figure 2, Figure 3A",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,9,"Figure 2, Figure 3A",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,9,"Figure 2, Figure 3A",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,10,"Figure 2, Figure 3A",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,10,"Figure 2, Figure 3A",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,11,"Figure 2, Figure 3A",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,11,"Figure 2, Figure 3A",=,0.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,12,"Figure 2, Figure 3A",=,1.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,12,"Figure 2, Figure 3A",=,2.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,13,"Figure 2, Figure 3A",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,13,"Figure 2, Figure 3A",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,14,"Figure 2, Figure 3A",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,14,"Figure 2, Figure 3A",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_late,Wuhan,S:614G,15,"Figure 2, Figure 3A",=,0.2,NULL,control,1,NULL,2021-03-09,exclude
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,15,"Figure 2, Figure 3A",=,0.2,NULL,control,1,NULL,2021-03-09,exclude
Trinite21,CP_late,Wuhan,S:614G,16,"Figure 2, Figure 3A",=,0.3,NULL,control,1,NULL,2021-03-09,exclude
Trinite21,CP_late,Wuhan,B.1.1.7 Spike,16,"Figure 2, Figure 3A",=,0.3,NULL,control,1,NULL,2021-03-09,exclude
Trinite21,CP,Wuhan,S:614G,1,"Figure 2, Figure 3B",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,1,"Figure 2, Figure 3B",=,2.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,2,"Figure 2, Figure 3B",=,1.2,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,2,"Figure 2, Figure 3B",=,1.2,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,3,"Figure 2, Figure 3B",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,3,"Figure 2, Figure 3B",=,1.1,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,4,"Figure 2, Figure 3B",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,4,"Figure 2, Figure 3B",=,1.1,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,5,"Figure 2, Figure 3B",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,5,"Figure 2, Figure 3B",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,6,"Figure 2, Figure 3B",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,6,"Figure 2, Figure 3B",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,7,"Figure 2, Figure 3B",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,7,"Figure 2, Figure 3B",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,8,"Figure 2, Figure 3B",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,8,"Figure 2, Figure 3B",=,1.2,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,9,"Figure 2, Figure 3B",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,9,"Figure 2, Figure 3B",=,0.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,10,"Figure 2, Figure 3B",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,10,"Figure 2, Figure 3B",=,3.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,11,"Figure 2, Figure 3B",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,11,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,12,"Figure 2, Figure 3B",=,1.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,12,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,13,"Figure 2, Figure 3B",=,0.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,13,"Figure 2, Figure 3B",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,14,"Figure 2, Figure 3B",=,0.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,14,"Figure 2, Figure 3B",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,15,"Figure 2, Figure 3B",=,1.1,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,B.1.1.7 Spike,15,"Figure 2, Figure 3B",=,1.2,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP,Wuhan,S:614G,16,"Figure 2, Figure 3B",=,0.8,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,CP,Wuhan,B.1.1.7 Spike,16,"Figure 2, Figure 3B",=,0.3,NULL,control,1,NULL,2021-03-09,exclude
Trinite21,CP_B.1.1.7,Wuhan,S:614G,1,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,1,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,2,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,2,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,3,"Figure 2, Figure 3B",=,1.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,3,"Figure 2, Figure 3B",=,1.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,4,"Figure 2, Figure 3B",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,4,"Figure 2, Figure 3B",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,5,"Figure 2, Figure 3B",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,5,"Figure 2, Figure 3B",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,6,"Figure 2, Figure 3B",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,6,"Figure 2, Figure 3B",=,0.1,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,7,"Figure 2, Figure 3B",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,7,"Figure 2, Figure 3B",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,8,"Figure 2, Figure 3B",=,1.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,8,"Figure 2, Figure 3B",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,9,"Figure 2, Figure 3B",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,9,"Figure 2, Figure 3B",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,10,"Figure 2, Figure 3B",=,0.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,10,"Figure 2, Figure 3B",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,CP_B.1.1.7,Wuhan,S:614G,11,"Figure 2, Figure 3B",=,1.0,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,11,"Figure 2, Figure 3B",=,1.0,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,CP_B.1.1.7,Wuhan,S:614G,12,"Figure 2, Figure 3B",=,1.0,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,12,"Figure 2, Figure 3B",=,1.0,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,CP_B.1.1.7,Wuhan,S:614G,13,"Figure 2, Figure 3B",=,1.0,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,CP_B.1.1.7,Wuhan,B.1.1.7 Spike,13,"Figure 2, Figure 3B",=,1.0,NULL,both,1,NULL,2021-03-09,exclude
Trinite21,BNT_infected,Wuhan,S:614G,1,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,1,"Figure 2, Figure 3C",=,1.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,2,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,2,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,3,"Figure 2, Figure 3C",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,3,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,4,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,4,"Figure 2, Figure 3C",=,0.7,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,5,"Figure 2, Figure 3C",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,5,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,6,"Figure 2, Figure 3C",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,6,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,7,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,7,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,8,"Figure 2, Figure 3C",=,1.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,8,"Figure 2, Figure 3C",=,3.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,9,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,9,"Figure 2, Figure 3C",=,1.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,10,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,10,"Figure 2, Figure 3C",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,11,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,11,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,12,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,12,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,13,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,13,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,14,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,14,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,15,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,15,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,S:614G,16,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_infected,Wuhan,B.1.1.7 Spike,16,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,1,"Figure 2, Figure 3C",=,0.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,1,"Figure 2, Figure 3C",=,1.1,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,2,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,2,"Figure 2, Figure 3C",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,3,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,3,"Figure 2, Figure 3C",=,3.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,4,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,4,"Figure 2, Figure 3C",=,2.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,5,"Figure 2, Figure 3C",=,0.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,5,"Figure 2, Figure 3C",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,6,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,6,"Figure 2, Figure 3C",=,1.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,7,"Figure 2, Figure 3C",=,0.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,7,"Figure 2, Figure 3C",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,8,"Figure 2, Figure 3C",=,0.9,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,8,"Figure 2, Figure 3C",=,1.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,9,"Figure 2, Figure 3C",=,1.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,9,"Figure 2, Figure 3C",=,3.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,10,"Figure 2, Figure 3C",=,1.4,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,10,"Figure 2, Figure 3C",=,6.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,11,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,11,"Figure 2, Figure 3C",=,2.1,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,12,"Figure 2, Figure 3C",=,0.8,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,12,"Figure 2, Figure 3C",=,3.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,13,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,13,"Figure 2, Figure 3C",=,2.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,14,"Figure 2, Figure 3C",=,1.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,14,"Figure 2, Figure 3C",=,2.5,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,15,"Figure 2, Figure 3C",=,1.3,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,15,"Figure 2, Figure 3C",=,3.0,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,S:614G,16,"Figure 2, Figure 3C",=,0.6,NULL,NULL,1,NULL,2021-03-09,
Trinite21,BNT_uninfected,Wuhan,B.1.1.7 Spike,16,"Figure 2, Figure 3C",=,1.7,NULL,NULL,1,NULL,2021-03-09,
