ab_name,abbreviation_name,availability,mature_month,institute,origin,priority,visibility,date_added
2063,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2123,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2125,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2151,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2165,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2173,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
2196,NULL,NULL,NULL,Walter Reed Army Institute of Research,CP,5000,FALSE,2022-03-24
222HC + 222LC,NULL,NULL,NULL,University of Oxford,CP,5000,FALSE,2021-04-17
24-11K,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
24-12K,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
24-1L,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
24-2K,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
247,NULL,NULL,NULL,Peking Union Medical College,CP,1000,FALSE,2021-01-27
24F4,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
25-B8,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
25-C4,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
25-C5,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
25-C8,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
25-C9,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
25-F5,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
25-G7,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
26-34L,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
26-40K,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
26-45K,NULL,NULL,NULL,Chinese Academy of Sciences,CP,5000,FALSE,2021-05-19
261-262,NULL,NULL,NULL,Peking Union Medical College,CP,1000,FALSE,2021-01-27
269HC + 222LC,NULL,NULL,NULL,University of Oxford,CP,5000,FALSE,2021-04-17
26A4,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
27C1,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
28-15L,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-19
28-26K,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-19
28-8L,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-19
28D6,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
28D9,NULL,NULL,NULL,Utrecht University,Transgenic mice,5000,FALSE,2021-04-27
29G2,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
2B04,NULL,NULL,NULL,Washington University School of Medicine,Immunized mice,5000,FALSE,2021-01-27
2B06,NULL,NULL,NULL,Washington University School of Medicine,CP,5000,FALSE,2021-09-24
2B11,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2021-08-19
2B2,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
2C02,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-03-25
2C03,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-03-25
2C08,NULL,NULL,NULL,Washington University School of Medicine,CP,5000,FALSE,2021-09-24
2D6,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
2E06,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-03-25
2F2,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
2F2-Fc,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
2F7,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
2G1,NULL,NULL,NULL,Shanghai Jiao Tong University,CP,5000,FALSE,2022-03-13
2G12,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
2G3,NULL,NULL,NULL,Cedars-Sinai Medical Center,Immunized mice,5000,FALSE,2021-04-27
2H04,NULL,NULL,NULL,Washington University School of Medicine,Immunized mice,5000,FALSE,2021-01-27
2H10,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
2H2,NULL,NULL,NULL,Cedars-Sinai Medical Center,Immunized mice,5000,FALSE,2021-04-27
2H4,NULL,NULL,NULL,A*STAR,Phage display library,5000,FALSE,2021-04-27
30F9,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
311mab-31B5,NULL,NULL,NULL,Third Military Medical University,CP,5000,FALSE,2021-04-27
311mab-32D4,NULL,NULL,NULL,Third Military Medical University,CP,5000,FALSE,2021-04-27
31H12,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
33G4,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
35B5,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
362-IgA,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
362-IgA-dimeric,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
362-IgA-secretory,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
362-IgG,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
38D4,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3A1-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3A1-IgG,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3A11,NULL,NULL,NULL,Washington University School of Medicine,CP,5000,FALSE,2021-09-24
3A2,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3A3,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3B11-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3B11-IgG,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3B12-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3B6,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
3B8,NULL,NULL,NULL,the KU Leuven Antibody Center,CP,5000,FALSE,2022-03-24
3C1,NULL,NULL,NULL,Cedars-Sinai Medical Center,Immunized mice,5000,FALSE,2021-04-27
3C12-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3C7,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
3D11,NULL,NULL,NULL,A*STAR,Phage display library,5000,FALSE,2021-04-27
3F11,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
3F11-Fc,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
4-18,NULL,NULL,NULL,NULL,NULL,1000,FALSE,2021-03-03
4-19,NULL,NULL,NULL,NULL,NULL,1000,FALSE,2021-01-27
4-20,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-01-27
4-8,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
40592-MM57,NULL,NULL,NULL,SinoBiological,CP,5000,FALSE,2022-06-01
40592-R001,NULL,NULL,NULL,SinoBiological,CP,5000,FALSE,2022-06-01
414-1,NULL,NULL,NULL,Fudan University,CP,5000,FALSE,2021-04-27
4A8,NULL,NULL,NULL,Beijing Institute of Biotechnology,CP,1000,FALSE,2021-01-27
4D4,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
4D5,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
4D8,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
4D8-Fc,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
4E5,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
5-24,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
5-7,NULL,NULL,NULL,Columbia University,CP,1000,FALSE,2021-01-27
510A5,NULL,NULL,NULL,Chongqing Medical University,CP,5000,FALSE,2021-04-27
51D7,NULL,NULL,NULL,Chongqing Medical University,CP,5000,FALSE,2021-04-27
58G6,NULL,NULL,NULL,Chongqing Medical University,CP,5000,FALSE,2021-04-27
5A6,NULL,NULL,NULL,A*STAR,Phage display library,5000,FALSE,2021-04-27
5A6-Fab,NULL,NULL,NULL,A*STAR,Phage display library,5000,FALSE,2021-04-27
5F8,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
5F8-Fc,NULL,NULL,NULL,Chinese Academy of Medical Sciences,Phage display library,5000,FALSE,2021-04-27
68,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
6D6,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
6F8,NULL,NULL,NULL,A*STAR,Phage display library,5000,FALSE,2021-04-27
76A,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
7B8,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
7CR5,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-08-19
7D6,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
80R-IgG1,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
80R-scFv,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
87G7,NULL,NULL,NULL,Utrecht University,CP,5000,FALSE,2022-06-24
89C8,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
89C8-ACE2,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
8D3,NULL,NULL,NULL,Cedars-Sinai Medical Center,Immunized mice,5000,FALSE,2021-04-27
910-30,NULL,NULL,NULL,NULL,NULL,1000,FALSE,2021-01-27
9A8,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-06-27
9F7,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
9G11,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-05-03
A001,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-06-27
A19-46.1,NULL,NULL,NULL,NIH,CP,1000,FALSE,2021-03-09
A19-61.1,NULL,NULL,NULL,NIH,CP,1000,FALSE,2021-03-09
A23-58.1,NULL,NULL,NULL,NIH,CP,1000,FALSE,2021-08-19
A247,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-03-09
A261-262,NULL,NULL,NULL,Peking Union Medical College,CP,5000,FALSE,2021-03-09
AB35,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-01-27
ABBV-47D11,NULL,Phase 1,NULL,Utrecht University & AbbVie,Transgenic mice,58,FALSE,2021-04-27
ABP-310,NULL,NULL,NULL,Abpro Corporation,CP,5000,FALSE,2022-04-13
ACE2-Fc,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
ADG-1,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADG-3,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADG10,NULL,NULL,NULL,Adagio Therapeutics,CP,1000,FALSE,2021-03-17
ADG2,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2022-09-07
ADG30,NULL,NULL,NULL,Adagio Therapeutics,CP,1000,FALSE,2021-03-17
ADI-55688,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-55689,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-55690,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-55951,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-55993,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-56000,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-56010,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-56046,NULL,NULL,NULL,Adagio Therapeutics,CP,5000,FALSE,2021-04-27
ADI-56443,NULL,NULL,1,Albert Einstein College of Medicine,CP,5000,FALSE,2021-10-20
ADI-56479,NULL,NULL,1,Albert Einstein College of Medicine,CP,5000,FALSE,2021-10-20
ADI-58125,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-12-17
ADM03820,NULL,Phase 2/3,NULL,Ology Bioservices,NULL,61,FALSE,2022-02-16
AM180,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-06-27
Ab-3467,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-12-17
AbG3,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-06-27
Adintrevimab,ADI,Phase 3,NULL,Adagio Therapeutics,CP,51,TRUE,2021-03-17
Amubarvimab,AMU,CN-Approved,NULL,Brii Biosciences,NULL,10,TRUE,2021-02-05
AvGn-B,NULL,NULL,NULL,NULL,NULL,5000,FALSE,2021-04-27
B07,NULL,NULL,NULL,Fondazione Toscana Life Sciences,CP,5000,FALSE,2021-01-27
B1-182.1,NULL,NULL,NULL,NIH,CP,1000,FALSE,2021-03-09
B38,NULL,NULL,NULL,Shenzhen Third People's Hospital,CP,1000,FALSE,2021-01-27
B6,NULL,NULL,NULL,University of Washington,MERS-CoV S immunized mice,5000,FALSE,2021-04-27
BD-196,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-218,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-236,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-254,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-255,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-319,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-320,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-362,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-368,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-368-2,NULL,NULL,NULL,Peking University,CP,1000,FALSE,2021-02-05
BD-369,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-380,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-395,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-397,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-403,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-417,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-418,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-421,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-449,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-467,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-494,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-498,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-500,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-503,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-504,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-505,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-507,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-508,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-515,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-536,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-566,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-598,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-599,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-602,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-604,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-7-25
BD-605,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-606,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-612,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-613,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-614,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-616,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-617,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-618,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-619,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-623,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-08-19
BD-628,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-629,NULL,NULL,NULL,Peking University,CP,1000,FALSE,2021-02-05
BD-632,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2021-04-27
BD-643,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-667,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-670,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-692,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-693,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-694,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-695,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-702,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-708,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-713,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-715,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-725,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-732,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-739,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-743,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-744,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-02-09
BD-748,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-751,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-755,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-756,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-758,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-767,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-771,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-790,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-791,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-796,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-801,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-804,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-805,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-807,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-809,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-812,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-813,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-815,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-817,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-818,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-819,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-821,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-822,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-824,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-826,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-827,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-828,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-833,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-835,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-836,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-837,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-843,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-846,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-849,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-863,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-864,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-870,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-897,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-898,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-899,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-900,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-901,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-902,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-904,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-906,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-907,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-912,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-913,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-914,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-915,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
BD-916,NULL,NULL,NULL,Peking University,CP,5000,FALSE,2022-05-05
